000000-000000-clarin	drożdże dżip gwożdżenie ozimina wędzarz rdzeń wędzonka ingerować kładzenie jutrzenka	/media/dyszek/data/poleval/clarin/SES0001_ses/rich001_bndl/rich001.wav	SES0001_rich001	SES0001
000000-000000-pelcra	witam państwa bardzo serdecznie na konferencji prasowej yy klubu kukiz piętnaście	/media/dyszek/data/poleval/pelcra/processed/pelcra-0.0.0/wav/adam_andruszkiewicz-konf_pras_1-a1.wav	adam_andruszkiewicz-konf_pras_1-a1	AdamAndruszkiewicz
000000-000000-sejmse	panie marszałku wysoka izbo panie ministrze próbuje się przedstawiać polskę jako zieloną wyspę kraj który się szybko rozwija tymczasem rzeczywistość jest zupełnie inna a widać ją także dzisiaj przed polskim parlamentem próbuje się rząd próbuje zagonić polaków do pracy aż do śmierci przedłużać wiek emerytalny czyliczyli sytuacja gospodarcza polski w tym wypadku jest przedstawiana już zupełnie inaczej pakiet klimatyczny i protokół z kioto jak się zgadzają fachowcy od gospodarki jest szkodliwy dla krajów które są na dorobku a polska właśnie jest takim krajem	/media/dyszek/data/poleval/processed_corpora/sejmsenat-0.0.0/audio/AdamAbramowicz-20130410/file000.wav	AdamAbramowicz-20130410-file000	AdamAbramowicz
000001-000000-clarin	stwierdzam że senator stanisław huskowski złożył ślubowanie panie senatorze gratuluję oklaski są mile widziane tym bardziej że do naszego grona senatorskiego dołącza osoba o dużym doświadczeniu samorządowym	/media/dyszek/data/poleval/clarin/SES0001_ses/sent001_bndl/sent001.wav	SES0001_sent001	SES0001
000001-000000-pelcra	który dokonał yy zbrodni na na naszej obywatelce na na obywatelce rzeczpospolitej polskiej	/media/dyszek/data/poleval/pelcra/processed/pelcra-0.0.0/wav/adam_andruszkiewicz-konf_pras_1-a10.wav	adam_andruszkiewicz-konf_pras_1-a10	AdamAndruszkiewicz
000001-000000-sejmse	w grudniu kanada wystąpiła z protokołu z kioto między kanadą a polską istnieje przepaść ekonomiczna jeżeli tak bogaty kraj jak kanada nie chce uczestniczyć w tym eksperymencie ekologicznym bo premier kanady twierdzi że to będzie szkodliwe dla kanadyjczyków to dlaczego polska nie idzie śladem kanady i jest pytanie do rządu czy warto w ogóle rozważać takie tematy jak ograniczanie zmiany w tej umowie po prostu ta umowa jest szkodliwa trzeba z niej po prostu wystąpić i czy rząd zamierza to zrobić dziękuję	/media/dyszek/data/poleval/processed_corpora/sejmsenat-0.0.0/audio/AdamAbramowicz-20130410/file001.wav	AdamAbramowicz-20130410-file001	AdamAbramowicz
000002-000000-clarin	zrezygnował z prawniczej kariery na rzecz dziennikarstwa jest twórcą i redaktorem merytorycznym magazynu meteoryt	/media/dyszek/data/poleval/clarin/SES0001_ses/sent002_bndl/sent002.wav	SES0001_sent002	SES0001
000002-000000-pelcra	powinien odpowiadać przed polskim wymiarem sprawiedliwości	/media/dyszek/data/poleval/pelcra/processed/pelcra-0.0.0/wav/adam_andruszkiewicz-konf_pras_1-a11.wav	adam_andruszkiewicz-konf_pras_1-a11	AdamAndruszkiewicz
000002-000000-sejmse	panie marszałku wysoka izbo panie ministrze w swoim wystąpieniu nie wskazał pan zgłoszonego i doprowadzonego do szczęśliwego końca przez polskę w okresie naszej prezydencji żadnego konkretnego problemu który dotyka dzisiejszego przeciętnego który dotyka dzisiaj przeciętnego europejczyka bo przecież nie poprawił nikomu komfortu życia fakt że pan brylował wśród europejskich elit politycznych zastępując panią aszton w prowadzeniu spotkań czym się pan przed wysoką izbą przed chwilą chwalił od pierwszego stycznia w polsce wzrosły stawki wat na ubranka dziecięce powodując wzrost cen tych artykułów o około piętnaście procent i drenując kieszenie polaków o trzy miliardy złotych rocznie tę decyzję wymusiła na nas unia europejska swoimi przepisami do pana ministra apelowało wiele organizacji społecznych stowarzyszeń rodziców aby wykorzystać prezydencję do załatwienia obniżenia stawek wat na artykuły dziecięce w całej unii europejskiej europa się starzeje	/media/dyszek/data/poleval/processed_corpora/sejmsenat-0.0.0/audio/AdamAbramowicz-20130410/file002.wav	AdamAbramowicz-20130410-file002	AdamAbramowicz
000003-000000-clarin	sięgnąłem po koniak właściwie niechętnie miałem już dość alkoholu na dzisiejszy wieczór i wtedy usłyszałem jej głos	/media/dyszek/data/poleval/clarin/SES0001_ses/sent003_bndl/sent003.wav	SES0001_sent003	SES0001
000003-000000-pelcra	a także swoją karę odbywać na terenie rzeczpospolitej polskiej	/media/dyszek/data/poleval/pelcra/processed/pelcra-0.0.0/wav/adam_andruszkiewicz-konf_pras_1-a12.wav	adam_andruszkiewicz-konf_pras_1-a12	AdamAndruszkiewicz
000003-000000-sejmse	decyzji wspierających rodzinę i rodzicielstwo panie ministrze dlaczego zlekceważył pan te apele i nie załatwił tak ważnej sprawy dziękuję	/media/dyszek/data/poleval/processed_corpora/sejmsenat-0.0.0/audio/AdamAbramowicz-20130410/file003.wav	AdamAbramowicz-20130410-file003	AdamAbramowicz
000004-000000-clarin	wreszcie zgasiła go w popielniczce i zawahała się przez moment może zatańczymy	/media/dyszek/data/poleval/clarin/SES0001_ses/sent004_bndl/sent004.wav	SES0001_sent004	SES0001
000004-000000-pelcra	yy to było morderstwo dokonane na obywatelsce obywatelce naszego państwa	/media/dyszek/data/poleval/pelcra/processed/pelcra-0.0.0/wav/adam_andruszkiewicz-konf_pras_1-a13.wav	adam_andruszkiewicz-konf_pras_1-a13	AdamAndruszkiewicz
000004-000001-sejmse	panie marszałku szanowny panie ministrze szanowna izbo projekt ustawy o uchyleniu ustawy o narodowych funduszach inwestycyjnych i ich prywatyzacji oraz o zmianie niektórych innych ustaw został	/media/dyszek/data/poleval/processed_corpora/sejmsenat-0.0.0/audio/AdamKepinski-20130410/file000.wav	AdamKepinski-20130410-file000	AdamKepinski
000005-000000-clarin	w końcu jestem specjalistą od tych spraw w każdej chwili mogłem zacząć pracować a propozycji było aż nadto	/media/dyszek/data/poleval/clarin/SES0001_ses/sent005_bndl/sent005.wav	SES0001_sent005	SES0001
000005-000000-pelcra	i taka osoba która tego morderstwa dokonała powinna odpowiadać przed polskim sądem tak aby polska opinia publiczna	/media/dyszek/data/poleval/pelcra/processed/pelcra-0.0.0/wav/adam_andruszkiewicz-konf_pras_1-a14.wav	adam_andruszkiewicz-konf_pras_1-a14	AdamAndruszkiewicz
000005-000001-sejmse	przygotowany przez ministerstwo skarbu państwa pragnę przedstawić stanowisko klubu ruchu palikota apropo ustawy druk sto dziewięćdziesiąt dwa mamy do czynienia z rozsądnymi zmianami w ustawie o działaniu tak zwanych narodowych funduszów inwestycyjnych począwszy od zmiany nazwy po przywileje podatkowe z tytułu pit w ustawie z dziewięćdziesiątego drugiego roku i cit w ustawie z roku dziewięćdziesiątego piątego narodowe fundusze narodowe fundusze inwestycyjne były pomysłem na restrukturyzację spółek skarbu państwa racjonalizację zatrudnienia i na pozbawienie się nieprodukcyjnego majątku dwadzieścia lat temu utworzono piętnaście en ef i zarządzających pięćset dwunastoma przedsiębiorstwami początkowo to początkowo do jednego świadectwa wartego na rynku około stu złotych uprawniony był każdy dorosły polak jednak większość obywateli szybko upłynniła nabyty od państwa za dwadzieścia złotych papier wartościowy na tym większość tak zwanych szarych polaków zakończyła swoje uwłaszczenie na majątku państwa który posiadało pe er el program powszechnej prywatyzacji formalnie zakończono trzydziestego czerwca dwa tysiące szóstego roku rada ministrów przedstawiła sejmowi raport z realizacji programu en ef i w latach dziewięćdziesiat pięć dwa tysiące trzy sejmowi czwartej kadencji spółki wchodzące w skład en ef i przeszły szereg różnych przekształceń własnościowych i stały się podmiotami działającymi według kodeksu spółek handlowych jednakże do tej pory a proponowana ustawa to zmienia nazwy czyli w nomenklaturze fachowej działanie pod firmą wciąż w sposób fasadowy i niecelowy zawierają człony narodowy choć akcjonariat akcjonariat już jest międzynarodowy oraz fundusz inwestycyjny choć de fakto nim nie jest i nie działa według ustawy o funduszach	/media/dyszek/data/poleval/processed_corpora/sejmsenat-0.0.0/audio/AdamKepinski-20130410/file001.wav	AdamKepinski-20130410-file001	AdamKepinski
000006-000000-clarin	czas i doświadczenie pozwoliły mi się przyzwyczaić do powodzenia u kobiet zaskoczony byłem raczej tym że ani pierwsza ani druga ani nawet dziesiąta randka nie skończyły się w łóżku	/media/dyszek/data/poleval/clarin/SES0001_ses/sent006_bndl/sent006.wav	SES0001_sent006	SES0001
000006-000000-pelcra	również do wiedziała doskonale co z takim mordercą się dzieje	/media/dyszek/data/poleval/pelcra/processed/pelcra-0.0.0/wav/adam_andruszkiewicz-konf_pras_1-a15.wav	adam_andruszkiewicz-konf_pras_1-a15	AdamAndruszkiewicz
000006-000001-sejmse	techniczna zmiana nazw wydaje się być absolutnie uzasadniona i oprócz zmian wpisów w krajowym rejestrze sądowym nie powoduje utrudnień w działaniu przedsiębiorstw inną zmianą jaką omawia omawiana ustawa wnosi są skutki podatkowe pierwotnie ustawa o nfi zakładała ulgi i zwolnienia w podatku pit i cit od zysku ze zbycia akcji i osiągniętych dywidend i tak jest do dziś omawiana ustawa zakłada likwidację przywilejów podatkowych gdyż spółki dziś rządzące się na prawach ogólnych i o zróżnicowanej strukturze akcjonariatu pozostały w pozycji niesłusznie uprzywilejowanej fiskalnie zmiana ta spowoduje urealnienie prawa które utraciło swoje merytoryczne i pierwotne właściwości zachowuje się jednak odpowiednio długie wakacjo legis dla praw nabytych przewiduje się rok od wejścia ustawy w życie to jest od pierwszego stycznia dwa tysiące trzynastego roku projekt ustawy został pozytywnie zaopiniowany w konsultacjach ze stroną społeczną i związkami zawodowymi dla budżetu państwa zmiana ta przyniesie dochody szacowane na około trzy miliony złotych rocznie z tytułu cit nie jest to znaczna kwota niemniej każdy dochód zdaje się być ważny do tego pochodzący ze sprawiedliwej gry rynkowej reasumując można powiedzieć z sentymentem że z chwilą wejścia ustawy w życie po programie powszechnej prywatyzacji zatrzemy wszystkie symboliczne ślady tym samym ogromny majątek państwa zgromadzony w przedsiębiorstwach ostatecznie i nieodwracalnie zmienił właściciela nasuwa się jednak pytanie czy wykonana metoda prywatyzacji i restrukturyzacji przyjęta ustawą sprzed dwudziestu lat była słuszna strasznie skomplikowane założenia skomplikowane założenia początkowe co do struktury własności en ef i i brak doświadczenia oraz kapitału własnego spowodowały w większości przypadków	/media/dyszek/data/poleval/processed_corpora/sejmsenat-0.0.0/audio/AdamKepinski-20130410/file002.wav	AdamKepinski-20130410-file002	AdamKepinski
000007-000000-clarin	pewnego wieczoru siedzieliśmy z kieliszkami białego wina już po dobrej kolacji i słuchaliśmy muzyki grał modny tu i teraz zespół a piosenka nosiła tytuł biały pies	/media/dyszek/data/poleval/clarin/SES0001_ses/sent007_bndl/sent007.wav	SES0001_sent007	SES0001
000007-000000-pelcra	i takie i taka osoba również naszym zdaniem	/media/dyszek/data/poleval/pelcra/processed/pelcra-0.0.0/wav/adam_andruszkiewicz-konf_pras_1-a16.wav	adam_andruszkiewicz-konf_pras_1-a16	AdamAndruszkiewicz
